"Components of Value Added by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: December 22, 2021"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"120","                Gross operating surplus",4.7,5.6,7.2,7.7,7.7,8.7,9.3,9.7,11.0,13.0,13.5,12.1,11.5,12.6,12.0,12.1,12.8,12.6,13.4,14.1
"121","            Petroleum and coal products",47.5,50.1,45.2,52.7,68.3,50.7,81.2,104.2,141.0,140.0,154.7,154.8,110.6,123.8,159.1,159.1,151.3,158.2,145.6,85.7
"122","                Compensation of employees",10.6,10.7,11.1,11.1,12.1,11.2,12.2,12.5,13.5,15.6,15.8,16.3,16.5,16.4,16.9,18.0,18.6,19.1,19.8,19.4
"123","                Taxes on production and imports less subsidies",1.7,1.7,1.7,1.7,1.6,1.7,1.8,2.0,2.1,2.3,2.5,2.8,2.9,2.8,3.1,2.9,3.4,3.5,3.6,4.3
"124","                Gross operating surplus",35.3,37.8,32.5,39.8,54.6,37.8,67.3,89.7,125.4,122.1,136.4,135.7,91.3,104.5,139.1,138.3,129.3,135.6,122.1,62.0
"125","            Chemical products",173.4,181.0,188.8,187.8,193.8,207.8,210.6,226.8,223.0,253.8,267.9,265.7,288.0,303.3,306.0,305.0,321.5,330.0,333.3,357.0
"126","                Compensation of employees",64.5,67.0,70.1,74.2,74.8,74.1,76.1,78.1,80.8,81.6,85.8,86.6,84.3,86.0,86.7,89.7,92.4,97.2,100.5,99.0
"127","                Taxes on production and imports less subsidies",4.0,4.2,4.4,4.5,6.3,6.8,7.2,7.8,8.3,8.8,9.6,10.2,11.1,11.4,14.2,14.6,15.5,15.7,16.2,15.9
"128","                Gross operating surplus",104.9,109.8,114.3,109.2,112.7,126.9,127.3,140.9,133.9,163.3,172.5,168.8,192.6,205.9,205.1,200.7,213.6,217.1,216.6,242.1
"129","            Plastics and rubber products",57.6,61.8,66.0,65.5,63.5,63.0,62.7,63.8,62.9,64.0,63.3,56.1,60.4,61.8,63.1,67.7,69.1,67.2,78.3,79.9
